Name,G21,Team,Pts,Reb,Ast,MP,MinKP120,Pts20,Reb20,Ast20,Min20,G20,ACC_G,ACC_Pts,ACC_Reb,ACC_Ast,ACC_MP
Sam Hauser,4.0,virginia,14.5,6.8,1.8,29.8,34.0,,,,,0,0,0,0,0,0
Jay Huff,4.0,virginia,12.3,6.8,0.5,23.5,26.0,8.5,6.2,0.8,25.0,30.0,0,0,0,0,0
Trey Murphy,4.0,virginia,10.8,3.0,0.8,19.5,25.0,13.7,5.5,1.2,30.2,29.0,0,0,0,0,0
Kihei Clark,4.0,virginia,7.5,0.8,2.8,27.8,32.0,10.8,4.2,5.9,37.1,30.0,0,0,0,0,0
Thomas Woldetensae,4.0,virginia,5.8,1.5,2.0,19.0,10.0,6.6,2.2,1.1,27.1,29.0,0,0,0,0,0
Reece Beekman,4.0,virginia,5.0,2.8,1.5,25.0,27.0,,,,,0,0,0,0,0,0
Justin McKoy,4.0,virginia,5.0,3.8,1.5,17.5,18.0,1.0,1.1,0.1,7.4,14.0,0,0,0,0,0
Casey Morsell,4.0,virginia,5.0,1.3,1.3,14.5,13.0,4.0,1.7,0.7,21.8,30.0,0,0,0,0,0
Kadin Shedrick,4.0,virginia,3.5,2.8,0.3,10.3,8.0,,,,,0,0,0,0,0,0
Kody Stattmann,3.0,virginia,4.7,2.3,0.7,11.0,7.0,3.6,2.4,0.7,21.5,24.0,0,0,0,0,0
Jabri Abdur-Rahim,2.0,virginia,1.5,0.5,0.5,7.5,,,,,,0,0,0,0,0,0
Carson McCorkle,2.0,virginia,1.0,1.5,1.0,5.0,,,,,,0,0,0,0,0,0
Francisco Caffaro,2.0,virginia,0.0,0.5,0.0,4.5,,1.4,1.2,0.0,7.5,20.0,0,0,0,0,0
Chase Coleman,2.0,virginia,0.0,0.5,0.0,1.5,,0.7,0.5,0.2,5.2,17.0,0,0,0,0,0
Austin Katstra,2.0,virginia,0.0,0.5,0.0,1.5,,0.0,5.0,0.0,4.0,1.0,0,0,0,0,0
Jayden Nixon,1.0,virginia,0.0,1.0,0.0,2.0,,0.4,0.4,0.0,3.6,5.0,0,0,0,0,0
Malachi Poindexter,2.0,virginia,0.0,0.0,0.0,1.5,,,,,,0,0,0,0,0,0
Matthew Hurt,5.0,duke,18.8,7.6,1.2,33.0,34.0,9.7,3.8,0.9,20.5,31.0,1,18.0,5.0,3.0,38.0
DJ Steward,5.0,duke,12.6,4.6,2.6,30.0,28.5,,,,,0,1,16.0,7.0,1.0,29.0
Jalen Johnson,4.0,duke,11.5,8.3,1.8,23.8,23.0,,,,,0,0,0,0,0,0
Jeremy Roach,5.0,duke,8.6,2.4,3.0,27.2,33.0,,,,,0,1,14.0,1.0,0.0,35.0
Jaemyn Brakefield,5.0,duke,7.8,4.2,0.4,15.4,21.0,,,,,0,1,10.0,5.0,1.0,24.0
Jordan Goldwire,5.0,duke,6.6,3.2,3.4,30.2,34.5,4.7,2.5,2.3,24.1,31.0,1,9.0,3.0,2.0,33.0
Wendell Moore,5.0,duke,3.8,2.8,1.0,18.4,8.0,7.4,4.2,1.9,24.0,25.0,1,0.0,4.0,0.0,9.0
Mark Williams,5.0,duke,2.6,2.6,0.8,7.6,7.5,,,,,0,1,4.0,2.0,0.0,8.0
Joey Baker,5.0,duke,2.2,1.4,0.2,13.8,15.5,5.0,0.9,0.8,12.1,28.0,1,2.0,0.0,0.0,15.0
Henry Coleman,3.0,duke,1.3,0.7,0.0,3.7,2.0,,,,,0,0,0,0,0,0
Patrick Tape,3.0,duke,1.3,1.3,0.3,5.3,5.5,,,,,0,1,2.0,3.0,1.0,9.0
Mike Buckmire,0.0,duke,,,,,,0.3,0.9,0.1,2.0,8.0,0,0,0,0,0
Michael Savarino,0.0,duke,,,,,,,,,,0,0,0,0,0,0
Keenan Worthington,0.0,duke,,,,,,,,,,0,0,0,0,0,0
M.J. Walker,4.0,florida-state,16.8,2.8,1.8,33.3,35.333333333333336,10.6,1.7,1.5,25.2,26.0,1,14.0,4.0,1.0,35.0
Scottie Barnes,4.0,florida-state,12.5,4.5,4.3,28.0,29.333333333333332,,,,,0,1,16.0,6.0,1.0,30.0
Balsa Koprivica,4.0,florida-state,10.3,6.0,1.0,20.0,21.0,4.7,2.4,0.3,10.3,27.0,1,10.0,8.0,3.0,26.0
Anthony Polite,4.0,florida-state,10.0,4.3,1.8,30.0,31.666666666666668,5.8,2.9,1.1,19.7,31.0,1,10.0,1.0,3.0,34.0
Raiquan Gray,4.0,florida-state,7.3,7.0,2.3,25.5,28.0,6.0,3.8,1.4,19.5,29.0,1,4.0,6.0,2.0,30.0
Wyatt Wilkes,4.0,florida-state,5.0,1.8,2.3,13.0,12.0,3.5,1.0,0.5,9.1,28.0,1,11.0,1.0,1.0,11.0
Sardaar Calhoun,4.0,florida-state,4.0,1.3,0.5,10.5,9.0,,,,,0,1,2.0,1.0,1.0,6.0
Malik Osborne,4.0,florida-state,3.8,3.8,0.5,22.0,23.666666666666668,6.0,4.9,0.5,19.3,31.0,1,2.0,1.0,1.0,19.0
Nathanael Jack,3.0,florida-state,4.0,0.0,0.3,6.0,4.0,3.3,0.8,0.4,5.7,13.0,1,3.0,0.0,0.0,5.0
RayQuan Evans,3.0,florida-state,3.0,2.0,1.3,15.7,15.5,3.1,1.2,1.4,11.1,30.0,0,0,0,0,0
Tanor Ngom,3.0,florida-state,3.0,1.3,0.0,5.3,4.0,,,,,0,0,0,0,0,0
Quincy Ballard,4.0,florida-state,1.0,0.5,0.0,3.5,2.3333333333333335,,,,,0,1,2.0,1.0,0.0,4.0
Harrison Prieto,1.0,florida-state,0.0,0.0,0.0,1.0,1.0,0.9,1.0,0.1,3.5,10.0,0,0,0,0,0
Travis Light,0.0,florida-state,,,,,,1.2,0.0,0.0,1.7,9.0,0,0,0,0,0
Justin Linder,0.0,florida-state,,,,,,,,,,0,0,0,0,0,0
Will Miles,0.0,florida-state,,,,,,0.2,0.1,0.1,1.8,9.0,0,0,0,0,0
Isaac Spainhour,0.0,florida-state,,,,,,,,,,0,0,0,0,0,0
Max Thorpe,0.0,florida-state,,,,,,,,,,0,0,0,0,0,0
Cleveland Yates,0.0,florida-state,,,,,,0.0,0.2,0.0,1.2,6.0,0,0,0,0,0
Devon Daniels,4.0,north-carolina-state,17.3,4.5,2.8,30.5,36.0,12.7,5.3,2.2,31.1,32.0,0,0,0,0,0
Jericole Hellems,4.0,north-carolina-state,12.0,4.8,2.3,26.0,35.0,9.5,3.4,1.0,25.5,31.0,0,0,0,0,0
Manny Bates,4.0,north-carolina-state,10.3,6.0,0.5,23.3,37.0,5.1,4.0,0.3,18.4,29.0,0,0,0,0,0
Braxton Beverly,4.0,north-carolina-state,9.3,0.8,3.8,25.0,34.0,7.1,1.6,1.2,24.8,32.0,0,0,0,0,0
Cam Hayes,3.0,north-carolina-state,11.3,0.0,5.3,19.3,,,,,,0,0,0,0,0,0
Thomas Allen,4.0,north-carolina-state,7.0,1.3,0.3,22.3,34.0,,,,,0,0,0,0,0,0
DJ Funderburk,3.0,north-carolina-state,8.3,3.3,0.0,19.7,,12.8,6.1,0.3,26.0,30.0,0,0,0,0,0
Dereon Seabron,4.0,north-carolina-state,5.5,2.5,1.3,12.3,10.0,,,,,0,0,0,0,0,0
Shakeel Moore,4.0,north-carolina-state,4.5,1.5,1.3,14.3,13.0,,,,,0,0,0,0,0,0
Jaylon Gibson,4.0,north-carolina-state,2.3,2.0,0.0,6.3,1.0,,,,,0,0,0,0,0,0
Chase Graham,3.0,north-carolina-state,1.7,0.0,0.0,2.3,,0.6,0.1,0.0,1.5,13.0,0,0,0,0,0
Ebenezer Dowuona,3.0,north-carolina-state,0.7,1.3,0.0,9.0,,,,,,0,0,0,0,0,0
Max Farthing,3.0,north-carolina-state,0.7,0.0,0.0,2.7,,0.3,0.5,0.0,2.1,12.0,0,0,0,0,0
Nick Farrar,1.0,north-carolina-state,0.0,0.0,0.0,2.0,,,,,,0,0,0,0,0,0
Keve Aluma,6.0,virginia-tech,15.3,7.2,1.0,27.3,29.333333333333332,,,,,0,1,13.0,4.0,2.0,25.0
Tyrece Radford,6.0,virginia-tech,11.7,5.3,2.5,33.8,35.333333333333336,10.2,6.2,1.7,26.3,32.0,1,15.0,2.0,1.0,36.0
Nahiem Alleyne,6.0,virginia-tech,11.3,1.7,1.0,27.3,27.666666666666668,8.8,2.3,1.4,26.0,32.0,1,13.0,4.0,2.0,29.0
Hunter Cattoor,6.0,virginia-tech,7.3,2.2,0.3,16.3,18.0,6.5,2.5,1.1,20.3,31.0,1,11.0,6.0,0.0,20.0
Wabissa Bede,6.0,virginia-tech,6.7,2.2,2.2,26.5,26.666666666666668,5.2,3.7,5.5,29.7,32.0,1,5.0,2.0,1.0,33.0
Justyn Mutts,6.0,virginia-tech,5.2,5.5,2.7,25.7,30.0,12.2,8.4,2.2,31.8,33.0,1,4.0,2.0,3.0,25.0
Cartier Diarra,4.0,virginia-tech,7.5,2.5,2.3,19.8,20.5,13.3,3.8,4.2,31.3,32.0,0,0,0,0,0
Cordell Pemsl,6.0,virginia-tech,3.3,3.5,0.2,13.2,13.666666666666666,2.8,3.2,1.2,12.7,28.0,1,5.0,5.0,0.0,15.0
Jalen Cone,3.0,virginia-tech,4.7,1.3,0.7,15.3,12.0,8.0,1.1,0.7,18.4,32.0,1,0.0,1.0,0.0,12.0
David N'Guessan,5.0,virginia-tech,1.2,2.6,0.2,7.8,6.5,,,,,0,1,0.0,3.0,0.0,5.0
Joseph Bamisile,5.0,virginia-tech,0.8,1.6,0.0,7.0,8.5,,,,,0,0,0,0,0,0
Darius Maddox,2.0,virginia-tech,0.0,0.0,0.0,2.5,,,,,,0,0,0,0,0,0
John Ojiako,0.0,virginia-tech,,,,,,2.7,2.7,0.1,10.4,31.0,0,0,0,0,0
Gill Williamson,0.0,virginia-tech,,,,,,,,,,0,0,0,0,0,0
Grant Yates,0.0,virginia-tech,,,,,,,,,,0,0,0,0,0,0
Wynston Tabbs,6.0,boston-college,16.2,3.7,1.5,28.2,28.0,,,,,0,1,11.0,0.0,3.0,22.0
Rich Kelly,6.0,boston-college,11.0,0.8,2.2,22.7,22.8,16.7,2.6,4.5,34.3,30.0,1,12.0,1.0,5.0,24.0
CJ Felder,6.0,boston-college,9.3,4.2,1.0,25.5,24.8,5.6,3.9,0.6,20.5,31.0,1,2.0,1.0,2.0,20.0
Jay Heath,5.0,boston-college,11.0,2.8,2.0,32.2,32.75,13.1,3.4,2.1,33.3,31.0,1,5.0,1.0,2.0,27.0
Makai Ashton-Langford,6.0,boston-college,8.5,3.5,2.8,26.2,26.8,,,,,0,1,5.0,3.0,1.0,25.0
Steffon Mitchell,6.0,boston-college,6.0,6.5,1.2,29.8,29.8,7.8,8.7,3.1,32.5,31.0,1,0.0,5.0,0.0,20.0
James Karnik,3.0,boston-college,11.3,7.0,0.3,23.7,23.666666666666668,12.2,7.2,1.0,28.4,22.0,1,20.0,8.0,0.0,28.0
DeMarr Langford Jr.,6.0,boston-college,4.3,3.2,1.2,19.3,19.6,,,,,0,1,6.0,4.0,1.0,20.0
Frederick Scott,3.0,boston-college,5.3,2.0,0.3,14.3,12.5,12.6,5.2,1.4,28.9,30.0,0,0,0,0,0
Lucas Kraljevic,2.0,boston-college,1.5,0.5,0.5,3.0,5.0,0.9,0.9,0.3,6.4,22.0,0,0,0,0,0
Andrew Kenny,1.0,boston-college,2.0,1.0,1.0,6.0,6.0,1.7,0.7,0.0,7.2,6.0,1,2.0,1.0,1.0,6.0
Justin Vander Baan,4.0,boston-college,0.0,0.3,0.0,2.0,2.0,,,,,0,1,0.0,1.0,0.0,3.0
Kamari Williams,4.0,boston-college,0.0,0.5,0.0,5.0,5.0,2.5,0.8,0.3,11.2,25.0,1,0.0,0.0,0.0,5.0
Andre Adams,0.0,boston-college,,,,,,9.0,6.5,0.8,22.5,23.0,0,0,0,0,0
Abe Atiyeh,0.0,boston-college,,,,,,,,,,0,0,0,0,0,0
Sam Holtze,0.0,boston-college,,,,,,0.8,0.3,0.0,1.0,4.0,0,0,0,0,0
Will Jackowitz,0.0,boston-college,,,,,,0.0,0.3,0.0,1.7,3.0,0,0,0,0,0
Jonathan Noel,0.0,boston-college,,,,,,0.0,0.3,0.0,1.0,3.0,0,0,0,0,0
Garrison Brooks,6.0,north-carolina,11.8,7.7,1.0,27.8,31.0,16.8,8.5,2.0,34.9,32.0,0,0,0,0,0
RJ Davis,6.0,north-carolina,11.2,3.5,2.8,30.2,31.0,,,,,0,0,0,0,0,0
Caleb Love,6.0,north-carolina,11.2,2.5,3.3,30.5,32.666666666666664,,,,,0,0,0,0,0,0
Armando Bacot,6.0,north-carolina,11.0,8.8,0.2,22.7,22.333333333333332,9.6,8.3,1.2,24.5,32.0,0,0,0,0,0
Day'Ron Sharpe,6.0,north-carolina,8.5,6.7,1.8,18.2,16.333333333333332,,,,,0,0,0,0,0,0
Andrew Platek,6.0,north-carolina,6.8,1.5,0.3,14.8,12.666666666666666,3.9,2.1,1.4,18.1,31.0,0,0,0,0,0
Leaky Black,6.0,north-carolina,6.5,7.5,1.5,28.8,32.333333333333336,6.5,5.0,2.6,29.7,32.0,0,0,0,0,0
Walker Kessler,6.0,north-carolina,4.0,2.3,0.0,8.5,8.0,,,,,0,0,0,0,0,0
Puff Johnson,6.0,north-carolina,1.2,0.3,0.0,3.8,3.6666666666666665,,,,,0,0,0,0,0,0
Kerwin Walton,6.0,north-carolina,1.0,1.3,1.5,10.3,9.0,,,,,0,0,0,0,0,0
Walker Miller,2.0,north-carolina,2.0,0.5,0.0,3.5,,0.5,0.6,0.1,2.7,23.0,0,0,0,0,0
K.J. Smith,3.0,north-carolina,0.3,0.7,0.0,2.7,3.0,0.9,0.7,0.8,6.2,20.0,0,0,0,0,0
Duwe Farris,2.0,north-carolina,0.0,0.5,0.0,1.5,,,,,,0,0,0,0,0,0
Creighton Lebo,2.0,north-carolina,0.0,0.5,0.0,1.5,,,,,,0,0,0,0,0,0
Ryan McAdoo,2.0,north-carolina,0.0,0.0,0.0,2.5,,0.1,0.1,0.1,1.3,9.0,0,0,0,0,0
Anthony Harris,0.0,north-carolina,,,,,,6.8,1.0,0.6,12.0,5.0,0,0,0,0,0
Sterling Manley,0.0,north-carolina,,,,,,,,,,0,0,0,0,0,0
Quincy Guerrier,6.0,syracuse,16.5,9.8,1.2,32.3,33.0,6.9,5.3,0.6,20.3,32.0,1,14.0,5.0,2.0,30.0
Alan Griffin,6.0,syracuse,15.3,7.2,3.0,31.2,33.0,8.9,4.5,0.6,18.1,28.0,1,22.0,10.0,4.0,29.0
Joseph Girard,6.0,syracuse,12.7,3.8,4.2,33.5,30.0,12.4,3.0,3.5,33.0,32.0,1,17.0,5.0,5.0,26.0
Marek Dolezaj,6.0,syracuse,11.5,5.7,4.2,32.7,32.5,10.4,6.4,2.7,33.3,32.0,1,10.0,6.0,7.0,28.0
Kadary Richmond,6.0,syracuse,7.8,3.8,4.0,25.0,28.5,,,,,0,1,9.0,2.0,3.0,20.0
Buddy Boeheim,3.0,syracuse,13.3,1.3,2.3,32.0,25.0,15.3,1.9,2.2,35.6,32.0,1,17.0,0.0,2.0,25.0
